"Zip_Code","City","State","Population","No_Diploma","Vacancy","No_Job","Poverty","Med_Inc","Chg_Job","Chg_Biz","No_Diploma_Rank","Vacancy_Rank","No_Job_Rank","Poverty_Rank","Med_Inc_Rank","Chg_Job_Rank","Chg_Biz_Rank","Avg_Rank","DCI_Rank","DCI_Percentile"
"Z74867","Sasakwa","OK",1016,17,16.9,40.8,20.3,71.2,-71.6,-30,19031,23729,22462,19907,21718,23480,25615,22277.4285714286,25495,97.6
"Z74868","Seminole","OK",13666,16.1,13.5,34.8,19.9,80.1,2.90000000000001,5.90000000000001,18272,21259,18994,19575,18677,13991,9040,17115.4285714286,20128,77
"Z74869","Sparks","OK",868,15.1,8.4,13.2,8.6,106.9,NA,100,17390,13703,549,7328,8751,NA,137,7976.33333333333,5077,19.4
"Z74871","Stonewall","OK",2330,8.5,15.4,27.6,13.7,102.4,-27.5,18.8,9012,22816,12692,13779,10138,22341,2840,13374,13846,53
"Z74872","Stratford","OK",3527,13,14.4,39.4,20.3,73,-14.6,9.3,15180,22079,21816,19904,21175,20828,6473,18207.8571428571,21710,83.1
"Z74873","Tecumseh","OK",11909,11,12,32.1,15.9,97.1,-11.3,-0.799999999999997,12721,19539,16925,16166,11976,20154,16729,16315.7142857143,18849,72.1
"Z74875","Tryon","OK",1410,17,17.7,36.6,22.3,99.5,-48,-40,19032,24100,20201,21197,11105,23223,25914,20681.7142857143,24445,93.6
"Z74878","Wanette","OK",1474,16.8,16.2,36.7,16.2,103.1,-2.09999999999999,0,18872,23397,20253,16467,9926,16791,15245,17278.7142857143,20376,78
"Z74880","Weleetka","OK",2328,17.5,23.6,42.4,23.3,76.6,-2.40000000000001,0,19417,25519,23075,21759,20027,16966,15262,20289.2857142857,24086,92.2
"Z74881","Wellston","OK",4508,14.7,12.1,30.4,18.8,92.2,8.90000000000001,-3.8,17026,19702,15404,18733,13852,10228,19177,16303.1428571429,18832,72.1
"Z74883","Wetumka","OK",2489,20.5,20.9,33.5,20.8,65.9,-30.4,-7,21424,25119,18071,20224,23109,22529,21310,21683.7142857143,25188,96.4
"Z74884","Wewoka","OK",5765,18.1,23.2,44.7,29.6,62.7,12.4,-8.90000000000001,19861,25473,23729,24024,23769,8349,22209,21059.1428571429,24756,94.8
"Z74901","Arkoma","OK",1915,23.4,12.7,51,31.6,56.4,4.7,11.1,22908,20405,24873,24440,24727,12885,5449,19383.8571428571,23186,88.8
"Z74902","Pocola","OK",4041,11.5,10.1,40.6,21.9,80.6,-16.9,4.8,13363,16766,22361,20975,18502,21209,10033,17601.2857142857,20879,79.9
"Z74930","Bokoshe","OK",2180,24,10,42.9,23,75.7,33.9,-28.6,23141,16680,23210,21608,20312,2609,25498,19008.2857142857,22753,87.1
"Z74931","Bunch","OK",1394,22.8,9.5,34.1,17.1,73.3,NA,66.7,22636,15839,18476,17309,21074,NA,338,15945.3333333333,18240,69.8
"Z74932","Cameron","OK",2500,17.9,10.9,40.3,26,79.2,44.4,-9.7,19723,18053,22236,22908,19028,1720,22530,18028.2857142857,21476,82.2
"Z74936","Gans","OK",1230,24.3,13.2,43.1,17.7,80.8,-52.4,0,23257,20981,23275,17907,18413,23299,15731,20409,24209,92.7
"Z74937","Heavener","OK",5898,25.2,14.3,38.4,28.3,66.8,-4.59999999999999,-12.9,23580,22041,21276,23664,22900,17968,23584,22144.7142857143,25433,97.4
"Z74939","Hodgen","OK",1310,22,14.5,80.6,18.7,75.2,28.6,0,22266,22211,26055,18710,20474,3360,14585,18237.2857142857,21747,83.2
"Z74940","Howe","OK",2493,20.5,19.5,43.1,25.4,70.9,34.5,-15.4,21425,24745,23284,22665,21808,2527,24103,20079.5714285714,23918,91.6
"Z74941","Keota","OK",2706,23,11.4,45.8,21.9,68.3,30.2,16.7,22724,18786,23968,20983,22523,3074,3326,16483.4285714286,19125,73.2
"Z74944","Mccurtain","OK",1155,21.1,12.5,41.9,22.8,83.5,-12.8,-31.2,21759,20186,22871,21495,17353,20481,25649,21399.1428571429,24991,95.7
"Z74948","Muldrow","OK",12672,18.5,12.4,40.2,26.8,78.6,2.2,2.59999999999999,20121,20078,22194,23207,19264,14453,12138,18779.2857142857,22459,86
"Z74951","Panama","OK",1323,21.8,20.8,44.4,33.3,53.8,-27.1,-5.3,22139,25096,23652,24746,25012,22305,20289,23319.8571428571,25883,99.1
"Z74953","Poteau","OK",11946,13.3,12.6,35.5,18.8,88.7,-3.2,3.2,15531,20261,19475,18763,15205,17348,11548,16875.8571428571,19756,75.6
"Z74954","Roland","OK",4700,15.5,11.9,32.2,24.6,83.7,3.2,-3.3,17761,19433,17009,22328,17276,13782,18780,18052.7142857143,21512,82.3
"Z74955","Sallisaw","OK",15093,18.2,12.9,38.8,25.1,70.7,16.4,-0.299999999999997,19933,20611,21490,22528,21866,6574,16278,18468.5714285714,22031,84.3
"Z74956","Shady Point","OK",2055,18.8,9.7,31.9,22,84.2,28.7,38.1,20325,16154,16738,21013,17066,3337,912,13649.2857142857,14339,54.9
"Z74957","Smithville","OK",1127,16.8,14.9,39,19.9,63,-20.6,-5.59999999999999,18873,22490,21603,19590,23705,21676,20480,21202.4285714286,24873,95.2
"Z74959","Spiro","OK",6970,23.4,13.6,38,22.5,85.2,-23.7,-12.3,22909,21396,21037,21325,16674,22007,23382,21247.1428571429,24900,95.3
"Z74960","Stilwell","OK",13439,19.9,11.7,36.4,28,68.3,5.7,4.90000000000001,21052,19194,20045,23572,22533,12233,9898,18361,21912,83.9
"Z74962","Vian","OK",4661,18.1,12.3,39,26.8,78,27.9,13.9,19862,19947,21589,23202,19510,3463,4253,15975.1428571429,18300,70
"Z74963","Watson","OK",600,15.5,17.3,39,10.3,78,14.7,33.3,17762,23923,21609,9696,19483,7265,1148,14412.2857142857,15712,60.1
"Z74964","Watts","OK",2494,22.4,13,44.1,23.2,70.5,22.2,5.90000000000001,22458,20737,23565,21703,21913,4733,8985,17727.7142857143,21051,80.6
"Z74965","Westville","OK",5342,24,10.2,42.9,23.7,78.3,4.7,5.90000000000001,23142,17001,23211,21944,19378,12870,9033,18082.7142857143,21548,82.5
"Z74966","Wister","OK",3501,15.2,12.4,36.3,17,91.4,-30.9,-6.09999999999999,17476,20056,19975,17230,14145,22571,20815,18895.4285714286,22614,86.6
"Z75001","Addison","TX",14128,5.8,9.7,12.8,10,126.6,13.6,9.5,4819,16022,480,9162,4673,7729,6324,7029.85714285714,3694,14.1
"Z75002","Allen","TX",68347,5.8,1.6,19,7.8,181,23.2,16.1,4820,866,3232,6265,875,4448,3527,3433.28571428571,435,1.7
"Z75006","Carrollton","TX",49620,23.4,3.8,18,13.8,108.3,12.5,7.40000000000001,22910,3661,2490,13845,8381,8268,7797,9621.71428571429,7583,29
"Z75007","Carrollton","TX",53513,11,2.8,18.4,7.4,144.3,16.4,8.09999999999999,12722,1992,2749,5718,2701,6543,7269,5670.57142857143,2052,7.9
"Z75009","Celina","TX",9409,4.59999999999999,7.1,20.7,13.7,165.9,24.2,36.7,3176,10877,4911,13738,1365,4189,974,5604.28571428571,1994,7.6
"Z75010","Carrollton","TX",24529,5.59999999999999,6.1,15.1,6,146.3,45,28.2,4525,8530,1056,4000,2531,1691,1554,3412.42857142857,427,1.6
"Z75013","Allen","TX",35568,1.90000000000001,2,20,2.2,242.2,28.6,27.9,596,1133,4123,516,158,3342,1571,1634.14285714286,47,0.2
"Z75019","Coppell","TX",40610,3.40000000000001,3.9,20.3,4.8,210,31.9,19,1836,3713,4445,2674,390,2853,2768,2668.42857142857,209,0.8
"Z75020","Denison","TX",22325,11.3,11.3,31.4,19,81,4.5,1,13103,18568,16306,18905,18342,13001,13694,15988.4285714286,18321,70.1
"Z75021","Denison","TX",7995,14.7,5.5,32.6,17.4,73.4,-7.90000000000001,-6.7,17027,7331,17289,17570,21046,19247,21135,17235,20302,77.7
"Z75022","Flower Mound","TX",23626,2.59999999999999,1.6,21.2,2.2,276.3,43.6,17.4,1085,843,5392,524,56,1759,3165,1832,66,0.3
"Z75023","Plano","TX",47787,5.90000000000001,3.5,22.3,7.1,138.2,-1,8.5,4957,2988,6616,5366,3250,16233,7007,6631,3209,12.3
"Z75024","Plano","TX",40843,2.2,4.8,19.4,3.2,167.8,16.7,26.3,789,5548,3635,1141,1282,6404,1703,2928.85714285714,261,1
"Z75025","Plano","TX",53483,2.2,2.8,18.6,5.4,205.6,12.1,11.3,790,1896,2903,3304,442,8462,5339,3305.14285714286,380,1.5
"Z75028","Flower Mound","TX",45225,3.09999999999999,2.9,18.6,3,210.8,28.7,14.6,1528,2041,2904,987,383,3325,3952,2160,110,0.4
"Z75032","Rockwall","TX",30877,8.90000000000001,6.2,24.1,6.1,178.9,16.7,20.2,9663,8843,8696,4194,935,6402,2490,5889,2276,8.7
"Z75034","Frisco","TX",85700,4.8,5.3,20.7,3.8,212.4,44.6,15.8,3421,6673,4889,1655,367,1707,3593,3186.42857142857,343,1.3
"Z75035","Frisco","TX",56427,3.90000000000001,1.8,17,3.5,211.2,61.2,58.1,2332,1001,1833,1379,379,1018,425,1195.28571428571,20,0.1
"Z75038","Irving","TX",29643,10.3,9.3,23.6,16.3,88.3,3.8,7.90000000000001,11763,15372,8162,16512,15356,13420,7427,12573.1428571429,12388,47.4
"Z75039","Irving","TX",14724,1.90000000000001,7.3,18.1,7.4,148.8,22.7,25.2,597,11325,2572,5711,2347,4589,1762,4129,749,2.9
"Z75040","Garland","TX",60948,26.8,6.5,23.1,15.9,104,3.09999999999999,6,24089,9689,7570,16122,9646,13820,8945,12840.1428571429,12888,49.3
"Z75041","Garland","TX",32098,35.8,6.4,27.5,22.7,74.4,7.5,8,25456,9475,12500,21403,20716,11087,7353,15427.1428571429,17370,66.5
"Z75042","Garland","TX",40264,37.5,5.6,27.5,28.4,72.7,-5.40000000000001,2.3,25590,7602,12492,23689,21283,18308,12454,17345.4285714286,20478,78.4
"Z75043","Garland","TX",60452,14.7,7.2,23.3,11.8,103.5,7.3,0.599999999999994,17028,11244,7818,11470,9793,11183,14021,11793.8571428571,11074,42.4
"Z75044","Garland","TX",40623,12.2,4.3,21.2,12,115,-11.7,10.8,14197,4601,5429,11719,6755,20225,5622,9792.57142857143,7874,30.1
"Z75048","Sachse","TX",22585,7.59999999999999,1.5,20,4,168.1,70.2,29.5,7610,816,4121,1834,1270,834,1420,2557.85714285714,184,0.7
"Z75050","Grand Prairie","TX",41765,22.6,9.6,24.9,19.2,88.4,17.3,4.09999999999999,22546,15989,9665,19043,15332,6190,10590,14193.5714285714,15330,58.7
"Z75051","Grand Prairie","TX",42711,35,7.4,29.5,22.5,76.1,1.2,3.90000000000001,25393,11784,14536,21300,20166,15078,10834,17013,19979,76.5
"Z75052","Grand Prairie","TX",91137,13.5,4.6,20.9,9.9,129,29.4,28.5,15801,5275,5078,9047,4351,3200,1545,6328.14285714286,2801,10.7
"Z75054","Grand Prairie","TX",7366,2.40000000000001,1.5,23.3,4.5,210.2,268,93.2,946,786,7754,2357,388,84,198,1787.57142857143,62,0.2
"Z75056","The Colony","TX",53186,5.8,4.4,19,6.4,151,73.9,37.3,4821,4723,3256,4482,2185,769,958,3027.71428571429,287,1.1
"Z75057","Lewisville","TX",13749,25.4,4.5,21.4,17.9,93.2,21.6,5,23651,5078,5673,17993,13491,4873,9750,11501.2857142857,10544,40.4
"Z75058","Gunter","TX",2872,15.5,7.1,23.8,9.9,133.9,127.2,36.1,17763,11023,8391,9077,3736,310,999,7328.42857142857,4103,15.7
"Z75060","Irving","TX",47538,32.5,5.3,25,16.8,87.5,18.1,0.200000000000003,25144,6889,9726,16997,15687,5865,14266,13510.5714285714,14095,54
