Zip_Code,Housing_Units,Total_Vacant,For_rent,Rented_not_oc,For_sale,Sale_not_oc,Seasonal,Migrant_worker,Other_vacant
Z56312,1045,162,42,6,15,0,32,0,67
Z56314,517,33,0,0,4,0,22,0,7
Z56315,944,305,4,0,4,0,271,0,26
Z56316,702,143,5,7,4,0,78,0,49
Z56319,731,160,4,0,0,8,125,0,23
Z56320,3541,406,0,0,24,0,379,0,3
Z56324,635,188,5,0,15,6,136,0,26
Z56325,88,2,0,0,0,0,0,0,2
Z56326,834,221,24,7,5,0,142,0,43
Z56329,2825,146,52,0,9,5,18,0,62
Z56330,706,55,0,0,22,0,15,0,18
Z56331,735,63,6,0,0,0,28,0,29
Z56332,682,157,0,0,11,0,137,0,9
Z56334,3539,1002,64,31,26,8,777,0,96
Z56335,102,9,4,0,0,0,0,0,5
Z56336,1074,435,4,0,11,0,395,0,25
Z56338,1315,613,0,0,28,0,548,0,37
Z56339,646,143,12,12,2,0,98,0,19
Z56340,948,63,0,0,9,0,12,0,42
Z56342,2527,1309,39,0,31,11,1172,0,56
Z56343,505,108,0,0,7,0,63,0,38
Z56345,6568,365,65,7,70,7,91,0,125
Z56347,3070,404,0,28,35,6,230,0,105
Z56349,412,80,0,0,0,0,65,0,15
Z56350,530,285,0,0,0,0,280,0,5
Z56352,2485,261,4,0,47,33,110,0,67
Z56353,3693,395,27,0,57,34,65,0,212
Z56354,1030,455,0,0,11,0,426,0,18
Z56355,204,15,0,0,0,5,3,0,7
Z56356,127,1,0,0,0,0,0,0,1
Z56357,451,54,0,0,0,0,7,0,47
Z56358,1450,216,11,0,31,6,113,0,55
Z56359,2236,758,36,11,39,2,577,0,93
Z56360,2371,779,14,0,21,7,678,0,59
Z56361,1195,270,9,0,8,0,162,0,91
Z56362,3008,612,50,0,25,0,492,0,45
Z56363,60,4,4,0,0,0,0,0,0
Z56364,2248,242,26,0,6,4,137,0,69
Z56367,2645,148,10,0,19,11,52,0,56
Z56368,2403,709,9,9,6,0,675,0,10
Z56369,297,30,30,0,0,0,0,0,0
Z56373,1182,52,6,0,8,0,7,0,31
Z56374,3159,179,0,0,38,13,57,0,71
Z56375,348,9,0,0,0,0,0,0,9
Z56376,152,4,0,0,0,0,0,0,4
Z56377,7043,263,73,0,93,97,0,0,0
Z56378,3714,481,0,0,21,0,403,0,57
Z56379,6705,138,22,0,15,0,27,0,74
Z56381,1362,354,0,10,20,16,248,0,60
Z56382,700,134,6,5,33,8,67,3,12
Z56384,155,5,0,0,0,5,0,0,0
Z56385,608,246,0,0,4,0,215,0,27
Z56386,575,292,13,0,17,2,254,0,6
Z56387,3179,55,41,0,14,0,0,0,0
Z56389,57,8,0,0,0,0,0,0,8
Z56401,15033,2979,219,161,183,24,2096,0,296
Z56425,3225,116,0,22,19,0,32,0,43
Z56431,7885,3650,28,35,98,0,3426,0,63
Z56433,1410,603,8,0,27,0,541,0,27
Z56434,83,8,0,0,0,2,6,0,0
Z56435,2297,1088,0,0,28,0,978,0,82
Z56438,1437,314,27,0,29,0,191,0,67
Z56440,595,36,0,0,4,0,15,0,17
Z56441,2073,489,86,0,25,0,359,0,19
Z56442,3241,2126,0,0,54,16,2037,0,19
Z56443,1573,936,0,0,12,0,882,0,42
Z56444,2755,1396,12,0,28,0,1309,0,47
Z56446,756,115,10,0,2,5,63,2,33
Z56447,1501,978,6,0,35,0,909,0,28
Z56448,647,492,0,0,5,0,487,0,0
Z56449,901,187,3,10,12,0,149,0,13
Z56450,1186,723,7,7,20,6,655,0,28
Z56452,3303,2329,8,0,36,0,2206,6,73
Z56455,874,177,22,7,32,0,99,0,17
Z56458,262,129,0,0,4,0,118,0,7
Z56461,2066,727,9,8,36,5,592,0,77
Z56464,2586,852,20,0,13,19,751,0,49
Z56465,1687,822,0,0,19,7,783,0,13
Z56466,2081,697,4,6,18,0,615,0,54
Z56467,2393,1369,12,0,5,0,1299,0,53
Z56468,3942,1865,10,4,52,0,1717,0,82
Z56469,1211,717,0,5,21,0,642,0,49
