Zip_Code,City,State,Population,No_Diploma,Vacancy,No_Job,Poverty,Med_Inc,Chg_Job,Chg_Biz,No_Diploma_Rank,Vacancy_Rank,No_Job_Rank,Poverty_Rank,Med_Inc_Rank,Chg_Job_Rank,Chg_Biz_Rank,Avg_Rank,DCI,White,Black,Asian,Hispanic
48183,Trenton,MI,42943,7.7,5,25.7,8.8,115.3,18,2.1,7536,5421,10238,7379,6318,6288,11829,7858.429,5023,92.4,1.5,1.6,2.8
48184,Wayne,MI,17251,16.6,10.2,34.6,22.8,79.4,9.2,-3.9,17934,15821,18105,20449,17931,10556,18296,17013.14,20152,83.5,10.5,1.3,2.4
48185,Westland,MI,48329,11.1,6.7,26.2,13.5,89.8,3.4,-5.2,12377,9216,10789,12980,13974,14223,19184,13249,13959,85.2,5.5,3.7,2.7
48186,Westland,MI,34319,13.5,10.2,33.7,19.1,90.4,-4.4,2.8,15171,15793,17540,18135,13752,18539,11237,15738.14,18203,86.1,7.1,1.4,2.1
48187,Canton,MI,48286,5,4.7,21.4,5,159,13.7,3.9,3583,4758,5580,2824,1606,8111,10118,5225.714,1638,83.3,3.9,8.4,1.9
48188,Canton,MI,41231,5.2,5.8,24,6.1,182.2,15.2,1.2,3839,7141,8358,4074,797,7415,12736,6337.143,2867,80.4,5.4,8.7,2.8
48189,Whitmore Lake,MI,13800,5.6,7.8,23.4,8.1,121.9,47.9,1.2,4383,11501,7747,6490,5143,1759,12716,7105.571,3855,94.4,1.7,1.4,1
48191,Willis,MI,4056,8.7,7.7,27.5,4.1,134.4,62.7,26.7,9041,11332,12153,1918,3452,1132,1397,5775,2185,91.1,7.8,0,0.4
48192,Wyandotte,MI,25376,10.8,8.6,28.1,11.1,103.4,-0.1,-6.9,12005,13044,12756,10234,9307,16452,20171,13424.14,14302,92,1.9,1.5,2.5
48193,Riverview,MI,15342,12.7,8.3,27.3,13.3,107.4,26.8,12.1,14263,12523,11950,12778,8146,3996,4525,9740.143,7918,?,?,?,?
48195,Southgate,MI,29518,11.4,5.9,30.9,11.1,101.4,7.3,-2.6,12759,7475,15299,10252,9881,11710,17241,12088.14,11841,90.1,1.9,1.6,3.8
48197,Ypsilanti,MI,65545,8.7,7.9,28.6,19.2,100.8,4.9,3.2,9042,11751,13254,18191,10093,13258,10833,12346,12328,64.2,23.9,4,3.4
48198,Ypsilanti,MI,37970,10.2,10.4,30.7,20.3,81.3,-2.2,-0.5,11209,16076,15166,18939,17244,17504,15564,15957.43,18564,63.8,28.1,1.3,2
48201,Detroit,MI,13049,19.7,23.2,53.3,53,28.8,3.4,-3.7,19979,23917,23884,24554,24589,14257,18138,21331.14,24144,15.4,73.4,5.9,2.3
48202,Detroit,MI,16696,15.2,31.3,49.7,43,40.7,5.2,-5.6,16770,24486,23495,24306,24403,13115,19405,20854.29,23917,9.4,84.5,3.1,0.8
48203,Highland Park,MI,25027,21.3,41.2,54.5,40,42.7,25.7,-4.5,20836,24614,23979,24118,24320,4208,18722,20113.86,23443,9.2,86,0.3,0.7
48204,Detroit,MI,25637,22.9,40.3,54.3,44.5,43.2,-10.7,-6.1,21580,24606,23966,24362,24302,20772,19751,22762.71,24555,1.4,96.2,0.2,0.6
48205,Detroit,MI,36834,20.5,31.9,49.7,37.6,57.1,-12.9,-12,20430,24502,23496,23927,23266,21269,22087,22711,24546,9.7,83.8,3.1,0.6
48206,Detroit,MI,18424,23.6,50.8,60.1,44,42.7,11.8,-17.3,21862,24639,24270,24349,24324,9148,23179,21681.57,24291,1.1,96.1,0.1,0.7
48207,Detroit,MI,21455,15.7,16.5,46.7,39.3,50.7,4.3,-2.4,17203,22034,23048,24063,23858,13710,17083,20142.71,23467,6.8,89.7,0.7,0.9
48208,Detroit,MI,9327,19.9,34.4,52.8,47.9,38.9,9,0.7,20082,24550,23846,24472,24453,10693,13190,20183.71,23499,7.6,88.8,0.3,1
48209,Detroit,MI,34411,49.1,23.1,48.1,41.2,52,13.2,-1.3,24538,23911,23297,24204,23748,8404,16162,20609.14,23761,29.5,7.8,0.2,58.5
48210,Detroit,MI,31557,45.6,30.8,50.4,47.2,51.4,3.6,-0.4,24466,24477,23594,24448,23796,14132,15462,21482.14,24195,26.3,37.2,0.8,30.1
48211,Detroit,MI,6833,30.2,34.7,58.9,47.3,39.2,9.4,-6.2,23519,24557,24229,24451,24446,10456,19787,21635,24270,14.6,73.4,1.8,1
48212,Hamtramck,MI,38329,31.2,27.8,54.7,48.2,47.3,5.7,2.3,23653,24347,23994,24477,24088,12792,11693,20720.57,23842,38.1,42.1,8.1,1.8
48213,Detroit,MI,25534,25.7,37.9,57.1,49.1,42.4,3.6,-4.9,22572,24587,24144,24493,24337,14133,19010,21896.57,24369,1.7,96.6,0,0.6
48214,Detroit,MI,20867,24,32.4,53.5,41.9,43.7,6.7,-2.1,21995,24509,23903,24251,24275,12129,16787,21121.29,24049,7.1,90.3,0.3,0.7
48216,Detroit,MI,5712,29.5,22.7,42.1,38.8,48.6,-14.4,2.8,23386,23861,21944,24019,23996,21567,11248,21431.57,24178,20.1,35.4,0.4,39.3
48217,Detroit,MI,7478,20.7,24.7,55.7,43.8,49.4,-37.4,-10.4,20542,24092,24064,24339,23956,23864,21649,23215.14,24606,6.9,85.6,0.1,5.5
48218,River Rouge,MI,7673,27.8,27.4,50.3,41.4,52.9,23.5,-4.7,23092,24313,23581,24220,23693,4744,18853,20356.57,23612,50,41.3,0.1,5.2
48219,Detroit,MI,48759,15.6,22.6,49.1,34.8,62.3,5.2,-1.9,17106,23848,23417,23655,22538,13110,16654,20046.86,23394,11.4,85,0.5,0.8
48220,Ferndale,MI,22598,7.3,9.3,26.4,18.8,97.3,12.2,1.2,6881,14286,11020,17881,11268,8903,12746,11855,11421,79.7,13.6,1.6,1
48221,Detroit,MI,39836,12.3,21,41.5,24.2,75.2,-15.9,2.4,13785,23583,21729,21086,19373,21859,11638,19007.57,22536,3.9,93.1,0.6,0.8
48223,Detroit,MI,24122,17.4,27.3,44,32.6,65.2,58.7,-0.9,18515,24307,22491,23326,21982,1259,15823,18243.29,21717,12.7,82.6,0.8,0.9
48224,Detroit,MI,41935,18.3,27.6,47.9,41.7,57.9,15.2,-13.4,19131,24324,23260,24242,23176,7474,22455,20580.29,23744,17.2,79.3,0.5,0.9
48225,Harper Woods,MI,14556,12.9,12.4,30.5,15.2,96.9,12,-8.1,14492,18712,14999,14826,11396,9004,20732,14880.14,16780,84.7,9.8,1.4,2
48226,Detroit,MI,6027,9.8,17.4,41.1,27,71.7,37.3,-13.8,10687,22449,21584,22116,20397,2521,22503,17465.29,20733,20,72.7,1.2,2.8
48227,Detroit,MI,42106,19.5,32.1,52,38.4,55.2,-6.6,-11.5,19860,24505,23776,23986,23482,19468,21976,22436.14,24496,2.2,95.1,0.2,0.8
48228,Detroit,MI,52243,20.5,27.2,48.3,45.7,47.5,7.7,2.4,20431,24302,23325,24412,24069,11500,11592,19947.29,23315,22.4,69.6,0.5,3.3
48229,Ecorse,MI,9457,26,23.5,51.5,33.9,56.2,14.2,-5.4,22648,23953,23715,23536,23374,7911,19289,20632.29,23780,45.9,40.7,0.1,9.4
48230,Grosse Pointe,MI,16638,3,7.6,21.5,5.1,194.6,1.7,3.6,1398,11103,5723,2931,577,15292,10463,6783.857,3446,92.2,2.9,1.3,1.8
48234,Detroit,MI,34368,22.3,27.3,53.8,42.4,50.4,-2.9,0.3,21327,24308,23928,24280,23886,17868,13496,21299,24129,6.6,90.6,0.8,0.4
48235,Detroit,MI,45705,14.3,18.5,49.5,35.3,57.6,-9.4,-6.6,15986,22871,23478,23704,23209,20387,20007,21377.43,24157,1.9,95.4,0.4,0.6
48236,Grosse Pointe,MI,30316,2.5,6.1,25.6,6.2,193.5,-0.7,2.5,995,7764,10133,4191,600,16718,11526,7418.143,4349,93.5,2.2,1.9,1.1
48237,Oak Park,MI,29727,8.3,8.9,30.3,16.2,95.7,1.3,-1.7,8443,13587,14789,15748,11822,15572,16501,13780.29,14944,46.9,44.7,2.5,1.2
48238,Detroit,MI,29865,24.4,37,56.4,44,45.2,18.5,-6,22143,24583,24102,24347,24195,6147,19641,20736.86,23850,0.6,97.3,0.1,0.6
48239,Redford,MI,35825,9.7,7.4,29.9,18,101.2,12.4,-4.2,10531,10764,14423,17294,9961,8790,18499,12894.57,13326,79.7,14.5,1.2,2.9
48240,Redford,MI,17615,12.2,11,33.6,15.5,96.1,41.3,-5.4,13671,16931,17473,15129,11699,2185,19281,13767,14921,91.8,3.1,0.6,1.3
48301,Bloomfield Hills,MI,14319,1.5,4.1,21.7,4.4,252.4,27,4.2,421,3496,5883,2188,120,3946,9817,3695.857,541,92.5,2.1,3.1,1.1
48302,Bloomfield Hills,MI,15520,3.1,6.6,24.5,6.1,256.3,3.8,3.1,1486,8897,8936,4078,108,13959,10938,6914.571,3600,82.6,5.3,8.7,1.5
48304,Bloomfield Hills,MI,16434,2.9,5.1,25.3,4.8,213.5,9.6,6.2,1313,5535,9808,2639,339,10293,8139,5438,1844,85.6,3.7,7.3,0.9
48306,Rochester,MI,28195,1.5,1.5,23.6,3.2,249.7,7.2,2.8,422,295,7884,1147,127,11755,11198,4689.714,1192,91.1,2.1,5.1,0.8
48307,Rochester,MI,42417,5.1,5.5,22.2,7.5,141.7,9.9,9,3711,6497,6394,5715,2741,10121,6178,5908.143,2334,86.2,2.3,6.9,2.3
