"Zip_Code","City","State","Population","No_Diploma","Vacancy","No_Job","Poverty","Med_Inc","Chg_Job","Chg_Biz"
"Z01862","North Billerica","MA",10985,9.3," 5.8",25.6,3.9,150.5,10.3,7.5
"Z01863","North Chelmsford","MA",9088,4.8," 2.5",19,3.9,110.4,18.8,2.8
"Z01864","North Reading","MA",15396,3.09999999999999," 5.2",18.9,3.3,179.5,19.3,10.9
"Z01867","Reading","MA",24852,3.3," 4.0",17.5,2.9,157.9,5.8,5.09999999999999
"Z01876","Tewksbury","MA",29479,6," 3.2",18.4,4.9,132,10.8,0
"Z01879","Tyngsboro","MA",12053,4.59999999999999," 1.3",16.5,4.6,155,-5.59999999999999,1.3
"Z01880","Wakefield","MA",25819,6.3," 4.3",18.9,4.7,125.7,16.6,2
"Z01886","Westford","MA",23232,2.59999999999999," 2.5",17.1,3,177.3,9.09999999999999,7.8
"Z01887","Wilmington","MA",23141,4.59999999999999," 1.8",16.9,3,147.1,-1.09999999999999,10.1
"Z01890","Winchester","MA",22075,2.7," 3.1",19.3,3.4,208.6,-3.3,-0.700000000000003
"Z01901","Lynn","MA",1371,29.2," 8.2",38,32.1,31.5,3.5,5
"Z01902","Lynn","MA",47052,23.9," 7.4",28.8,24,55.5,8,-1.5
"Z01904","Lynn","MA",17521,7.40000000000001," 3.5",18.9,5.3,123.9,2.8,8.3
"Z01905","Lynn","MA",25668,22.1," 5.3",28,22.8,74.2,-0.0999999999999943,14.8
"Z01906","Saugus","MA",27620,9.90000000000001," 5.3",21.2,6.6,112.8,10.7,1.7
"Z01907","Swampscott","MA",14217,4.59999999999999," 1.1",19,5.4,143.6,-1.40000000000001,1.3
"Z01908","Nahant","MA",3454,2.90000000000001," 6.0",18.8,4.9,95.2,7.90000000000001,-6
"Z01913","Amesbury","MA",16907,6.40000000000001," 5.9",19.8,5.2,111.7,8.59999999999999,3.40000000000001
"Z01915","Beverly","MA",40670,5.90000000000001," 4.5",22,8,106.2,7,2.90000000000001
"Z01921","Boxford","MA",8138,2.2," 0.0",23.2,2.7,204.6,35.2,13
"Z01923","Danvers","MA",27266,5.59999999999999," 4.6",19.5,4.4,113.7,8.7,1.90000000000001
"Z01929","Essex","MA",3608,2.90000000000001," 6.5",16.4,6.5,134.8,19.3,4.2
"Z01930","Gloucester","MA",29399,11.3," 6.5",26.1,9.3,89.7,4.3,-0.799999999999997
"Z01938","Ipswich","MA",13616,3.59999999999999," 3.8",19.3,6.9,111.5,3.7,-6.09999999999999
"Z01940","Lynnfield","MA",12944,3.09999999999999," 5.5",18.4,2,163.2,18.6,20.1
"Z01944","Manchester","MA",5286,3.59999999999999," 2.0",27.3,7,138.9,-3.59999999999999,-2.7
"Z01945","Marblehead","MA",20270,2.2," 4.5",20.1,4.9,150.2,-6.40000000000001,0.700000000000003
"Z01949","Middleton","MA",9436,8.8," 4.0",40.4,5.2,158.4,11.1,12.1
"Z01950","Newburyport","MA",17766,2.90000000000001," 3.1",23.4,7.4,124.8,2.3,3.5
"Z01951","Newbury","MA",4051,4.40000000000001," 4.7",23.7,4.3,133.2,31.9,27.3
"Z01952","Salisbury","MA",8672,10.2," 5.8",25.5,9.6,101.4,6.3,0.400000000000006
"Z01960","Peabody","MA",51729,9.7," 4.0",19.5,9,88.2,10.8,4.40000000000001
"Z01966","Rockport","MA",7111,2.90000000000001," 3.5",20.7,5.6,94.6,4.8,0
"Z01969","Rowley","MA",6081,4.5," 0.7",22.2,5,126.6,5.3,4.40000000000001
"Z01970","Salem","MA",42332,9," 5.9",24.4,14.5,88.4,2,1.5
"Z01982","South Hamilton","MA",8102,2.7," 3.5",21.6,7.4,159.7,-12.5,-1.40000000000001
"Z01983","Topsfield","MA",6379,4," 1.2",15,5.3,167.1,22,9.09999999999999
"Z01984","Wenham","MA",5092,2.09999999999999," 5.8",23.1,2.7,159.3,36.4,1.3
"Z01985","West Newbury","MA",4427,2.5," 4.2",19.5,7.2,191.3,69.9,-6.7
"Z02019","Bellingham","MA",16682,6.40000000000001," 4.2",18.1,3,129,24.8,8.3
"Z02021","Canton","MA",22276,3.09999999999999," 3.7",21.7,6.4,138.6,15.4,7.59999999999999
"Z02025","Cohasset","MA",8281,3.40000000000001," 0.0",25.6,5.1,166,-2.09999999999999,5.8
"Z02026","Dedham","MA",25224,5.90000000000001," 2.0",20.8,4.8,121.7,-1,9.8
"Z02030","Dover","MA",5814,1," 4.2",22.7,0.6,270.6,13.5,12.1
"Z02035","Foxboro","MA",17243,5.3," 2.2",20.6,5,129.5,4.7,6.7
