Zip_Code,Housing_Units,Occupied_Units,Vacant_Units
Z02048,8489,8115,374
Z02050,10926,9559,1367
Z02052,4328,4090,238
Z02053,4704,4562,142
Z02054,3085,3069,16
Z02056,3295,3177,118
Z02061,3741,3638,103
Z02062,12069,11670,399
Z02066,7246,6510,736
Z02067,6539,6212,327
Z02071,321,321,0
Z02072,11301,10555,746
Z02081,7375,7098,277
Z02090,5691,5589,102
Z02093,4083,3893,190
Z02108,2398,2114,284
Z02109,2343,2001,342
Z02110,1632,1293,339
Z02111,3378,3108,270
Z02113,4595,4319,276
Z02114,7759,7000,759
Z02115,10289,9535,754
Z02116,12909,11460,1449
Z02118,13386,12500,886
Z02119,11789,10693,1096
Z02120,5102,4741,361
Z02121,11343,10329,1014
Z02122,9253,8409,844
Z02124,20295,18593,1702
Z02125,13665,12427,1238
Z02126,10549,9660,889
Z02127,17223,16332,891
Z02128,16936,15820,1116
Z02129,9113,8457,656
Z02130,16812,16070,742
Z02131,12734,12092,642
Z02132,11774,11270,504
Z02134,8854,7826,1028
Z02135,19880,18029,1851
Z02136,11692,11048,644
Z02138,15264,13654,1610
Z02139,15537,14058,1479
Z02140,8941,8561,380
Z02141,6960,6297,663
Z02142,1789,1307,482
Z02143,11582,11340,242
Z02144,11087,10760,327
Z02145,10609,10037,572
Z02148,24232,22960,1272
Z02149,16571,15476,1095
Z02150,12926,12276,650
Z02151,21784,20500,1284
Z02152,8155,7602,553
Z02155,23192,22114,1078
Z02163,721,525,196
Z02169,25897,24364,1533
Z02170,7947,7625,322
Z02171,7993,7487,506
Z02176,11822,11349,473
Z02180,9406,9055,351
Z02184,14204,13706,498
Z02186,9302,9049,253
Z02188,6685,6211,474
Z02189,6141,6088,53
Z02190,7018,6879,139
Z02191,3780,3530,250
Z02199,945,797,148
Z02203,0,0,0
Z02210,1576,1216,360
Z02215,8370,7472,898
Z02301,23843,21284,2559
Z02302,12072,11480,592
Z02322,1751,1659,92
Z02324,8360,7803,557
Z02330,4649,4423,226
Z02332,6055,5406,649
Z02333,5091,4986,105
Z02338,2975,2852,123
Z02339,5001,4862,139
Z02341,3458,3458,0
Z02343,4465,4333,132
Z02346,9122,8566,556
Z02347,4209,3780,429
Z02351,6335,6035,300
Z02356,4353,4278,75
Z02357,0,0,0
Z02359,6675,6309,366
Z02360,25852,21945,3907
Z02364,4795,4585,210
Z02366,0,0,0
Z02367,1074,1028,46
Z02368,12798,12045,753
Z02370,6965,6517,448
Z02375,3646,3445,201
Z02379,2538,2343,195
Z02382,5658,5503,155
Z02420,5179,5026,153
Z02421,6870,6505,365
Z02445,9342,8643,699
Z02446,14592,13431,1161
Z02451,8223,7662,561
Z02452,5251,5080,171
Z02453,12413,11506,907
Z02457,84,0,84
Z02458,5324,4920,404
Z02459,6941,6626,315
Z02460,3838,3755,83
Z02461,2798,2691,107
Z02462,669,618,51
Z02464,1269,1205,64
Z02465,4408,4249,159
Z02466,2984,2876,108
Z02467,7116,6586,530
Z02468,1994,1959,35
Z02472,15229,14357,872
Z02474,12071,11450,621
Z02476,7547,7193,354
Z02478,10109,9504,605
Z02481,5006,4761,245
Z02482,3977,3800,177
Z02492,7115,6891,224
Z02493,3959,3781,178
Z02494,3803,3683,120
Z02532,6882,5106,1776
Z02534,573,361,212
Z02535,2052,485,1567
Z02536,11941,8019,3922
Z02537,3280,2392,888
Z02538,1809,1185,624
Z02539,5279,1436,3843
Z02540,6817,3994,2823
Z02542,473,237,236
Z02543,830,368,462
Z02553,227,132,95
Z02554,10446,3844,6602
Z02556,2308,1270,1038
Z02557,4541,1712,2829
Z02558,1565,683,882
Z02559,2892,1903,989
Z02561,251,229,22
Z02562,1999,1348,651
Z02563,4433,3783,650
Z02564,1308,70,1238
Z02568,3061,1337,1724
Z02571,5762,4507,1255
Z02575,2295,996,1299
Z02576,2048,1786,262
Z02584,9,9,0
Z02601,8601,6393,2208
Z02630,1192,856,336
Z02631,7679,4205,3474
Z02632,6106,4626,1480
Z02633,4263,1819,2444
Z02635,2251,1553,698
Z02637,88,44,44
Z02638,3358,1597,1761
Z02639,4941,1300,3641
Z02641,554,140,414
Z02642,5892,2277,3615
Z02643,56,9,47
Z02644,1569,1373,196
Z02645,5994,3956,2038
Z02646,2733,1018,1715
Z02647,242,61,181
Z02648,3208,2686,522
Z02649,9807,5907,3900
Z02650,989,524,465
Z02651,14,14,0
Z02652,1676,432,1244
Z02653,5296,2926,2370
Z02655,3085,1658,1427
Z02657,4517,1782,2735
Z02659,1356,393,963
Z02660,4789,3064,1725
Z02663,343,56,287
Z02664,6818,4355,2463
Z02666,1601,388,1213
Z02667,4133,1492,2641
Z02668,1445,1314,131
Z02669,511,80,431
Z02670,2365,700,1665
Z02671,1387,477,910
Z02672,430,62,368
Z02673,6616,3684,2932
Z02675,4115,3086,1029
Z02702,1604,1541,63
Z02703,18046,16787,1259
Z02713,165,28,137
Z02715,1116,1056,60
Z02717,1676,1531,145
Z02718,2508,2294,214
Z02719,7447,6687,760
Z02720,14825,13214,1611
Z02721,12587,11144,1443
Z02723,7333,6514,819
Z02724,8700,7613,1087
Z02725,1016,965,51
Z02726,6342,5910,432
Z02738,2434,1851,583
Z02739,3179,2299,880
Z02740,20232,18274,1958
Z02743,4023,3917,106
Z02744,5299,4661,638
Z02745,10814,10136,678
Z02746,6845,5969,876
Z02747,6812,6504,308
Z02748,5462,4826,636
Z02760,10587,9823,764
Z02762,3766,3358,408
Z02763,726,700,26
Z02764,1507,1447,60
Z02766,6493,6151,342
Z02767,5040,4834,206
Z02769,4269,4012,257
Z02770,1871,1812,59
Z02771,5650,5501,149
Z02777,6617,6015,602
Z02779,2201,2184,17
Z02780,21156,19681,1475
Z02790,7345,6196,1149
Z02791,220,104,116
Z02802,424,424,0
Z02804,1091,954,137
Z02806,6634,6235,399
Z02807,1820,426,1394
Z02808,871,825,46
Z02809,9070,8389,681
Z02812,526,497,29
Z02813,4940,3048,1892
Z02814,3144,2709,435
Z02815,62,62,0
Z02816,13986,13084,902
Z02817,2371,2175,196
Z02818,7936,7458,478
Z02822,2452,2361,91
Z02825,2071,1957,114
Z02826,383,328,55
Z02827,788,730,58
Z02828,3050,2940,110
Z02830,2695,2547,148
Z02831,1340,1266,74
Z02832,2241,2028,213
Z02833,304,278,26
Z02835,2995,2360,635
