Zip_Code,Place Name,State Abbreviation,State,County,Pop_2011_2015
Z94115,San Francisco,CA,California,City and County of San Francisco,35154
Z94116,San Francisco,CA,California,City and County of San Francisco,45559
Z94117,San Francisco,CA,California,City and County of San Francisco,42462
Z94118,San Francisco,CA,California,City and County of San Francisco,41391
Z94121,San Francisco,CA,California,City and County of San Francisco,42622
Z94122,San Francisco,CA,California,City and County of San Francisco,60929
Z94123,San Francisco,CA,California,City and County of San Francisco,25273
Z94124,San Francisco,CA,California,City and County of San Francisco,35010
Z94127,San Francisco,CA,California,City and County of San Francisco,19446
Z94128,San Francisco,CA,California,San Mateo,99
Z94129,San Francisco,CA,California,City and County of San Francisco,3639
Z94130,San Francisco,CA,California,City and County of San Francisco,3187
Z94131,San Francisco,CA,California,City and County of San Francisco,28472
Z94132,San Francisco,CA,California,City and County of San Francisco,32031
Z94133,San Francisco,CA,California,City and County of San Francisco,27485
Z94134,San Francisco,CA,California,City and County of San Francisco,40701
Z94158,San Francisco,CA,California,City and County of San Francisco,5747
Z94301,Palo Alto,CA,California,Santa Clara,16876
Z94303,Palo Alto,CA,California,San Mateo,47550
Z94304,Palo Alto,CA,California,Santa Clara,3655
Z94305,Stanford,CA,California,Santa Clara,14228
Z94306,Palo Alto,CA,California,Santa Clara,27583
Z94401,San Mateo,CA,California,San Mateo,37298
Z94402,San Mateo,CA,California,San Mateo,24591
Z94403,San Mateo,CA,California,San Mateo,40548
Z94404,San Mateo,CA,California,San Mateo,35492
Z94501,Alameda,CA,California,Alameda,63118
Z94502,Alameda,CA,California,Alameda,13615
Z94503,American Canyon,CA,California,Napa,20285
Z94505,Discovery Bay,CA,California,Contra Costa,14687
Z94506,Danville,CA,California,Contra Costa,22622
Z94507,Alamo,CA,California,Contra Costa,16653
Z94508,Angwin,CA,California,Napa,4255
Z94509,Antioch,CA,California,Contra Costa,64406
Z94510,Benicia,CA,California,Solano,27723
Z94511,Bethel Island,CA,California,Contra Costa,2172
Z94512,Birds Landing,CA,California,Solano,207
Z94513,Brentwood,CA,California,Contra Costa,58399
Z94514,Byron,CA,California,Contra Costa,1209
Z94515,Calistoga,CA,California,Napa,7404
Z94516,Canyon,CA,California,Contra Costa,186
Z94517,Clayton,CA,California,Contra Costa,12913
Z94518,Concord,CA,California,Contra Costa,26966
Z94519,Concord,CA,California,Contra Costa,19819
Z94520,Concord,CA,California,Contra Costa,39484
Z94521,Concord,CA,California,Contra Costa,41575
Z94523,Pleasant Hill,CA,California,Contra Costa,34707
