"Zip_Code","City","State","Population","No_Diploma","Vacancy","No_Job","Poverty","Med_Inc","Chg_Job","Chg_Biz","No_Diploma_Rank","Vacancy_Rank","No_Job_Rank","Poverty_Rank","Med_Inc_Rank","Chg_Job_Rank","Chg_Biz_Rank","Avg_Rank","DCI"
"Z55125","Saint Paul","MN",43277,3,2.5,16.6,3.9,149.8,17.1,10.6,1401,1067,1676,1674,2142,6655,5232,2835.28571428571,235
"Z55126","Saint Paul","MN",26069,3.7,2,17,5.3,129.2,15.8,0.599999999999994,2057,648,1877,3102,4076,7175,13251,4598,1113
"Z55127","Saint Paul","MN",17871,4.09999999999999,3.2,20.6,3.5,146.7,18.4,7.40000000000001,2493,1967,4683,1364,2351,6154,7227,3748.42857142857,567
"Z55128","Saint Paul","MN",28642,6.3,2.5,16.5,6.8,106.1,20,10.4,5419,1105,1628,4829,8502,5661,5339,4640.42857142857,1148
"Z55129","Saint Paul","MN",22390,2,2.2,17.2,2.6,187.4,12.1,22.7,660,787,1973,735,711,8930,1855,2235.85714285714,117
"Z55130","Saint Paul","MN",16474,34.2,9.8,38.2,37.3,48.7,106.8,20.7,23956,15244,20270,23894,23989,481,2122,15708,18161
"Z55150","Mendota","MN",230,2.7,5,22.6,14.3,107.7,4.5,-25,1159,5334,6806,13808,8070,13528,23935,10377.1428571429,8950
"Z55301","Albertville","MN",10982,2.59999999999999,2.9,12.3,1.1,151.2,15.8,15,1068,1521,441,237,2034,7164,3453,2274,123
"Z55302","Annandale","MN",7034,8.90000000000001,4.8,22,10.1,97,1.7,0.5,9369,5007,6209,8965,11355,15318,13366,9941.28571428571,8248
"Z55303","Anoka","MN",47167,6.40000000000001,3.1,19.6,7.2,110.9,13.2,6.09999999999999,5559,1864,3766,5313,7268,8381,8236,5769.57142857143,2179
"Z55304","Andover","MN",47360,4.3,1.8,16.9,4.5,151.6,15.5,1,2716,516,1818,2242,2010,7307,12910,4217,812
"Z55305","Hopkins","MN",18819,2.3,3.9,14.6,5.5,107.4,9,-0.200000000000003,857,3128,939,3328,8132,10659,15326,6052.71428571429,2505
"Z55306","Burnsville","MN",16678,6.09999999999999,4.2,18.3,13.3,100.2,-5.2,3.40000000000001,5124,3772,2721,12724,10253,18868,10659,9160.14285714286,6993
"Z55307","Arlington","MN",3300,14.5,5.9,14.2,12.7,86.4,-10.9,-7.09999999999999,16168,7500,835,12050,15276,20809,20313,13278.7142857143,14018
"Z55308","Becker","MN",9275,6.90000000000001,4.5,11.7,3.1,134.7,11.3,6.59999999999999,6311,4351,364,1019,3427,9361,7859,4670.28571428571,1166
"Z55309","Big Lake","MN",18634,6,3.8,15.6,7.8,117.7,54.8,11,4991,3006,1280,6050,5828,1393,5056,3943.42857142857,662
"Z55310","Bird Island","MN",1314,9.7,18.2,23,12.7,79.8,1.7,-7.09999999999999,10547,22762,7336,12066,17773,15332,20281,15156.7142857143,17238
"Z55311","Maple Grove","MN",35614,2,1.3,18.8,5.5,176.5,2.59999999999999,10.9,661,205,3066,3352,945,14710,5119,4008.28571428571,691
