Zip_Code,City,State,Population,No_Diploma,Vacancy,No_Job,Poverty,Med_Inc,Chg_Job,Chg_Biz,No_Diploma_Rank,Vacancy_Rank,No_Job_Rank,Poverty_Rank,Med_Inc_Rank,Chg_Job_Rank,Chg_Biz_Rank,Avg_Rank,DCI,Rank_Label
Z01524,Leicester,MA,6827,10,4.9,23,7,91.5,10,1.9,10913,5241,7259,5107,13321,10091,12061,9141.857143,6962,Comfortable
Z08514,Cream Ridge,NJ,5131,7.8,2.2,29.3,4.9,118.3,-0.6,-1.7,7620,836,13873,2755,5738,16669,16506,9142.428571,6963,Comfortable
Z14174,Youngstown,NY,5447,6.7,7.3,24.8,7.2,112.4,-9.9,10.1,5933,10507,9274,5355,6920,20514,5500,9143.285714,6964,Comfortable
Z94564,Pinole,CA,18887,10.8,6.6,26.2,7.8,116.4,11.2,3.5,12055,9007,10787,6130,6084,9423,10517,9143.285714,6965,Comfortable
Z22304,Alexandria,VA,47488,9.2,9.8,16.8,6.9,117,2.9,2.1,9758,15144,1801,4954,5955,14522,11872,9143.714286,6966,Comfortable
Z04949,Liberty,ME,825,5,6.2,31.2,13.2,74.1,119.1,13,3532,8027,15542,12683,19677,407,4140,9144,6967,Comfortable
Z60408,Braidwood,IL,5564,9.1,8.8,24.6,12.7,104.4,16.3,14.1,9660,13401,9069,12077,8997,7010,3798,9144.571429,6968,Comfortable
Z79323,Denver City,TX,6649,31.9,3.8,23.6,10.8,113.5,23.5,6.3,23745,3102,7903,9824,6697,4722,8023,9145.142857,6969,Comfortable
Z78632,Harwood,TX,1014,17.1,18,18.6,6.8,87.6,352.9,50,18306,22707,2981,4837,14798,54,340,9146.142857,6970,Comfortable
Z52778,Wilton,IA,4207,5.9,7.8,12.8,10.1,108.2,4.5,-2.1,4821,11504,539,8915,7933,13527,16795,9147.714286,6971,Comfortable
Z47633,Poseyville,IN,3031,6.5,6.2,26.5,12,100.5,7.5,9,5675,8047,11102,11277,10166,11585,6183,9147.857143,6972,Comfortable
Z04261,Newry,ME,422,8.6,1.4,22.5,11,93.8,-0.3,5,8816,278,6659,10063,12505,16544,9170,9147.857143,6973,Comfortable
Z43068,Reynoldsburg,OH,54214,7.1,5.1,22.5,11.8,114.5,8.1,-1.7,6557,5617,6702,10992,6489,11204,16477,9148.285714,6974,Comfortable
Z33193,Miami,FL,50653,18.4,5.9,24.4,13.8,107,20.5,25.8,19182,7519,8817,13304,8251,5520,1451,9149.142857,6975,Comfortable
Z68106,Omaha,NE,20439,7.5,4.4,18.4,12.6,95,2,3.4,7264,4171,2795,11956,12076,15144,10642,9149.714286,6976,Comfortable
Z59079,Shepherd,MT,3467,5.4,6.3,27.4,12.7,128.5,-2.1,9.4,4144,8267,12033,12103,4172,17417,5916,9150.285714,6977,Comfortable
Z37923,Knoxville,TN,27804,6.7,9.5,21.1,11.5,120.2,16.9,-0.4,5957,14622,5274,10634,5389,6752,15429,9151,6978,Comfortable
Z20010,Washington,DC,32544,17.3,6.7,17.3,13.4,93.7,17.4,19.4,18412,9272,2057,12851,12553,6546,2380,9153,6979,Comfortable
Z69165,Sutherland,NE,1819,6,5,21.8,5.5,122.7,-16.9,-2.6,5010,5394,6007,3382,4992,22002,17288,9153.571429,6980,Comfortable
Z08755,Toms River,NJ,25607,10.4,4.2,24.9,4.8,96,-3.5,7.8,11446,3842,9344,2636,11716,18138,6954,9153.714286,6981,Comfortable
Z49682,Suttons Bay,MI,4169,5.7,5.6,30.9,17.5,105.2,15.7,12,4540,6740,15295,16905,8785,7230,4582,9153.857143,6982,Comfortable
Z48050,New Haven,MI,1958,10.2,3.2,25.7,8.3,134.9,4.6,-2.3,11207,2047,10218,6761,3406,13453,16992,9154.857143,6983,Comfortable
Z91607,Valley Village,CA,30231,8,4.4,27.4,12.7,86.6,9.5,20.5,8060,4180,12020,12102,15194,10373,2163,9156,6984,Comfortable
Z02145,Somerville,MA,25291,16.5,5.3,23.6,13.7,85.6,59.4,20.2,17808,6172,7920,13182,15597,1235,2178,9156,6985,Comfortable
Z50651,La Porte City,IA,3489,6.5,5.9,16.9,8.6,109,-1.7,-2.5,5682,7397,1844,7065,7719,17203,17184,9156.285714,6986,Comfortable
Z39272,Byram,MS,12915,6.1,6.8,20.7,10.8,144,8.3,-9.7,5092,9361,4834,9803,2569,11059,21379,9156.714286,6987,Comfortable
Z23177,Walkerton,VA,568,12.6,4.5,31.7,5.6,85.7,12.1,25,14102,4419,15961,3539,15540,8959,1580,9157.142857,6988,Comfortable
Z74006,Bartlesville,OK,26135,5.4,7.5,23.4,9.5,127.5,1.2,0.8,4168,10925,7743,8217,4293,15619,13141,9158,6989,Comfortable
Z81201,Salida,CO,9142,7.9,6.9,25.7,8.7,79.4,14.9,14.7,7887,9651,10260,7247,17914,7609,3541,9158.428571,6990,Comfortable
Z57103,Sioux Falls,SD,35689,12.9,4.6,19,13.4,104,11.5,3.6,14505,4654,3268,12853,9131,9271,10435,9159.571429,6991,Comfortable
Z45359,Pleasant Hill,OH,1802,7.5,9.9,23.4,8.2,97.5,39.6,0,7196,15280,7766,6598,11153,2319,13807,9159.857143,6992,Comfortable
Z55306,Burnsville,MN,16678,6.1,4.2,18.3,13.3,100.2,-5.2,3.4,5124,3772,2721,12724,10253,18868,10659,9160.142857,6993,Comfortable
Z51022,Granville,IA,802,4.1,12.8,21.3,3.6,119.1,9.4,-5.9,2489,19083,5532,1459,5569,10405,19588,9160.714286,6994,Comfortable
Z61874,Savoy,IL,7694,2.3,4.2,23.6,17.8,110.2,-0.8,3.8,863,3717,7909,17136,7439,16783,10280,9161,6995,Comfortable
Z60521,Hinsdale,IL,17938,2.1,6.3,30.2,5.5,272.1,0.9,-9.3,723,8230,14665,3428,61,15774,21251,9161.714286,6996,Comfortable
Z98644,Seaview,WA,353,8.3,2,10.9,20.7,63.6,13.3,11.4,8522,674,278,19171,22293,8359,4839,9162.285714,6997,Comfortable
Z43356,Waldo,OH,1137,5,6.8,17.1,6.2,128.8,-2.6,-18.8,3580,9340,1946,4120,4131,17673,23347,9162.428571,6998,Comfortable
Z72157,Springfield,AR,1257,12.4,5.1,38.7,5.7,90.3,50,11.1,13936,5694,20527,3657,13762,1623,4940,9162.714286,6999,Comfortable
Z03820,Dover,NH,30560,8.1,6.4,21,10,91.4,1.8,11.2,8081,8547,5144,8835,13355,15263,4926,9164.428571,7000,Comfortable
Z83263,Preston,ID,8940,9.3,4.4,23.8,10.8,106.6,7.9,1.7,10005,4200,8135,9825,8371,11336,12281,9164.714286,7001,Comfortable
Z16159,West Middlesex,PA,4578,8.6,7.9,27.9,7.4,90.8,17.9,10.2,8837,11749,12585,5623,13588,6337,5437,9165.142857,7002,Comfortable
Z90814,Long Beach,CA,19264,8.5,2.9,24.5,15.2,89.2,8.5,11.3,8799,1615,8888,14790,14213,10964,4891,9165.714286,7003,Comfortable
Z55956,Mazeppa,MN,1971,9.4,6,15.9,4.9,112.1,3.8,-9.7,10109,7652,1397,2674,6975,13972,21381,9165.714286,7004,Comfortable
Z32343,Midway,FL,3234,9.5,9.4,20.4,15.2,104.1,28.8,7.1,10206,14473,4557,14776,9097,3632,7420,9165.857143,7005,Comfortable
Z83246,Lava Hot Springs,ID,811,10.7,18,19.8,12.1,110.3,21,27,11929,22694,3997,11373,7408,5382,1385,9166.857143,7006,Comfortable
