"Zip_Code","City","State","Pop","Minority_Pct","No_Diploma","Vacancy","No_Job","Poverty","Med_Inc","Chg_Job","Chg_Biz","UTSA_DCI","EIG_Distress_Score","Distress_Diff","EIG_Rank","UTSA_Rank","Rank_Diff"
"Z47598","Winslow","IN",1,0.9,0,0,0,0,0,0,0,77.5,78.3,-0.799999999999997,20460,20248,-212
"Z47862","Montezuma","IN",2,4.2,0,0,0,0,0,0,0,69.4,68.9,0.5,18005,18135,130
"Z48187","Canton","MI",-4,27,0,0,0.0999999999999979,0,0,0,0,6.8,6.8,0,1767,1773,6
"Z49006","Kalamazoo","MI",0,27.5,0,0,0,0,0,0,0,51.6,51.3,0.300000000000004,13410,13492,82
"Z50163","Melcher Dallas","IA",0,3,0,0,0,0,0,0,0,81.5,74.6,6.90000000000001,19488,21291,1803
"Z50324","Windsor Heights","IA",-2,14.2,0,0,0,0,0,0,0,7.6,7.4,0.199999999999999,1923,1994,71
"Z52206","Atkins","IA",-2,5.5,0,0,-0.0999999999999996,0,0,0,-0.0999999999999996,8.4,9,-0.6,2349,2199,-150
"Z53235","Saint Francis","WI",-3,22.6,0,0,0,0,0,0,0,49.5,49.4,0.100000000000001,12905,12930,25
"Z54482","Stevens Point","WI",-1,6.7,0,0,0,0,0,0,0,1.6,1.5,0.1,394,411,17
"Z54491","White Lake","WI",1,3.7,0,0,0,0,0,0,0,65.7,65.2,0.5,17035,17166,131
"Z54772","Wheeler","WI",3,4.3,0,0,0,0,0,0,0,79.2,80.6,-1.39999999999999,21048,20699,-349
"Z54937","Fond Du Lac","WI",2,8.8,0,0,0,0,0,0,0,6.6,6.4,0.199999999999999,1668,1714,46
"Z55020","Elko New Market","MN",-4,3.7,0,0,0,0,0,0,0,3.2,3.6,-0.4,939,848,-91
"Z56072","New Richland","MN",-2,6,0,0,0,0,0,0,0,45.4,45.3,0.100000000000001,11847,11861,14
"Z57105","Sioux Falls","SD",0,13.1,0,0,0,0,0,0,0,18.5,18.6,-0.100000000000001,4859,4843,-16
"Z57401","Aberdeen","SD",3,11.3,0,0,0,0,0,0,0,32.2,32.2,0,8416,8414,-2
"Z57756","Manderson","SD",-4,99.6,0,0,0,0,0,0,0,100,100,0,26126,26125,-1
"Z60458","Justice","IL",-1,42.1,0,0,0,0,0,0,0,62.4,62.3,0.100000000000001,16266,16297,31
"Z60479","Verona","IL",-3,10,0,0,0,0,0,0,0,55.1,56.2,-1.1,14676,14404,-272
"Z60639","Chicago","IL",-1,93.3,0,0,0,0,0,0,0,84.7,85.4,-0.700000000000003,22299,22117,-182
"Z61449","La Fayette","IL",3,1.4,0,0,0,0,0,0,0,82.2,83.4,-1.2,21798,21478,-320
"Z61744","Gridley","IL",-5,3.6,0,0,0,0,0,0,0,32.3,32.9,-0.600000000000001,8595,8449,-146
"Z62056","Litchfield","IL",2,2.2,0,0,0,0,0,0,0,76.3,77,-0.700000000000003,20121,19940,-181
"Z62835","Enfield","IL",0,0.4,0,0,0,0,0,0,0,90.1,90.9,-0.800000000000011,23739,23549,-190
"Z62969","Olive Branch","IL",3,0,0,0,0,0,0,0,0,83.6,83.2,0.399999999999991,21746,21832,86
"Z66515","Morrill","KS",1,11.2,0,0,-0.100000000000001,0,0,0,0,30.8,23.3,7.5,6088,8034,1946
"Z66548","Waterville","KS",0,7.5,0,0,0,0,0,0,0,40.9,40.5,0.399999999999999,10588,10691,103
"Z67137","Severy","KS",-2,9.7,0,0,0,0,0,0,0.0999999999999996,87.7,88.5,-0.799999999999997,23128,22923,-205
"Z67228","Wichita","KS",1,23.2,0,0,0,0,0,0,0,0,0,0,8,13,5
"Z67838","Deerfield","KS",2,47.2,0,0,-0.100000000000001,0,0,0,0,61,60.3,0.700000000000003,15766,15926,160
"Z68430","Roca","NE",-2,2.7,0,0,0,0,0,0,0,0,0,0,9,9,0
"Z68644","Lindsay","NE",1,1.3,0,0,0,0,0,0,0,36.3,45.1,-8.8,11780,9495,-2285
"Z68666","Stromsburg","NE",-1,5,0,0,0,0,0,0,0,12.1,11.7,0.4,3047,3156,109
"Z70345","Cut Off","LA",-5,18.6,0,0,0,0,0,0,0,77.3,78.3,-1,20451,20188,-263
"Z70529","Duson","LA",4,23.4,0,0,0,0,0,0,0,43.4,43.1,0.299999999999997,11273,11328,55
"Z71049","Logansport","LA",-3,30.4,0,0,0,0,0,0,0,72.8,72.6,0.200000000000003,18968,19020,52
"Z73560","Olustee","OK",-1,38,0,0,0,0,0,0,0,79.4,80.2,-0.799999999999997,20956,20754,-202
"Z73852","Mooreland","OK",3,6.9,0,0,0,0,0,0,0,53.3,53.8,-0.5,14047,13923,-124
"Z74021","Collinsville","OK",-2,24.4,0,0,0,0,0,0,0,8.3,8,0.300000000000001,2087,2160,73
"Z74878","Wanette","OK",4,12.7,0,0,0,0,0,0,0,78,78,0,20387,20376,-11
"Z75418","Bonham","TX",-4,25.8,0,0,0,0,0,0,0,83.4,83.7,-0.299999999999997,21855,21784,-71
"Z75490","Trenton","TX",-5,15.6,0,0,0,0,0,0,0,70.1,70.9,-0.800000000000011,18531,18310,-221
"Z76437","Cisco","TX",4,15.6,0,0,0,0,0,0,0,96.5,96.7,-0.200000000000003,25264,25220,-44
"Z77022","Houston","TX",0,94.9,0,0,0,0,0,0,0,89.1,89.2,-0.100000000000009,23292,23265,-27
"Z78212","San Antonio","TX",-2,67.3,0,0,-0.0999999999999979,0,0,0,0,78.6,78.9,-0.300000000000011,20607,20527,-80
"Z78219","San Antonio","TX",2,80.1,0,0,-0.100000000000001,0,0,0,0,74.6,74.6,0,19498,19488,-10
"Z78236","Jbsa Lackland","TX",-2,42.7,0,0,0,0,0,0,0,33.8,33.8,0,8821,8842,21
"Z78615","Coupland","TX",-5,27.8,0,0,0,0,0,0,0,86.3,87.3,-1,22811,22553,-258
"Z79007","Borger","TX",4,36.9,0,0,0,0,0,0,0,72.5,72.5,0,18950,18933,-17
"Z80238","Denver","CO",4,20.1,0,0,0,0,0,0,0,0,0,0,2,3,1
"Z80840","Usaf Academy","CO",4,25.5,0,0,0,0,0,0,0,34,33.3,0.700000000000003,8695,8894,199
"Z81005","Pueblo","CO",-3,47.5,0,0,0,0,0,0,0,51.6,51.4,0.200000000000003,13427,13484,57
"Z81504","Grand Junction","CO",-5,17.4,0,0,0,0,0,0,0,52.7,53.1,-0.399999999999999,13871,13767,-104
"Z81650","Rifle","CO",4,28.6,0,0,0,0,0,0,0,81.2,82.1,-0.899999999999991,21442,21213,-229
"Z82433","Meeteetse","WY",2,11.6,0,0,0,0,0,0,0,45.3,46.1,-0.800000000000004,12038,11844,-194
"Z83118","Etna","WY",2,3.2,0,0,0,0,0,0,0,0,0,0,7,6,-1
"Z83654","New Meadows","ID",0,12.5,0,0,0.100000000000001,0,0,0,0,52.7,52.2,0.5,13628,13773,145
"Z84025","Farmington","UT",-3,7.4,0,0,0,0,0,0,0,0.4,0.4,0,94,109,15
"Z84305","Clarkston","UT",-5,6.3,0,0,0,0,0,0,0,3.6,3.4,0.2,878,931,53
"Z85003","Phoenix","AZ",-1,52.1,0,0,0,0,0,0,0,88.9,89,-0.0999999999999943,23243,23225,-18
"Z85123","Arizona City","AZ",-5,51,0,0,0,0,0,400,0,46.8,45.8,1,11974,12222,248
"Z85147","Sacaton","AZ",-1,96.6,0,0,0,0,0,107000,0,82,81.5,0.5,21303,21414,111
"Z86320","Ash Fork","AZ",0,31.5,0,0,0,0,0,0,0,96.1,92.9,3.19999999999999,24269,25094,825
"Z87511","Alcalde","NM",-3,96.3,0,0,0,0,0,0,0,78.3,79.4,-1.10000000000001,20737,20459,-278
"Z87901","Truth Or Consequences","NM",2,31.2,0,0,0,0,0,0,0,97.5,97.6,-0.0999999999999943,25508,25480,-28
"Z90023","Los Angeles","CA",-2,98,0,0,0,0,0,0,0,89.5,90,-0.5,23504,23373,-131
"Z90094","Playa Vista","CA",-2,56.7,0,0,0,0,0,0,0,1.7,1.6,0.0999999999999999,414,454,40
"Z90201","Bell Gardens","CA",-4,96.3,0,0,0,0,0,0,0,78.5,79.3,-0.799999999999997,20712,20498,-214
"Z91342","Sylmar","CA",-4,86.3,0,0,0,0,0,0,0,50.8,50.7,0.0999999999999943,13249,13259,10
"Z92071","Santee","CA",-2,28.8,0,0,0,0,0,0,0,11.6,11.3,0.299999999999999,2964,3026,62
"Z92587","Quail Valley","CA",4,35.3,0,0,0,0,0,0,0,27.4,27.1,0.299999999999997,7082,7151,69
