City,State,No_of_Zip_Codes,Sum_Population,Mean_No_Diploma,Mean_Vacancy,Mean_No_Job,Mean_Poverty,Mean_Med_Inc,Mean_Chg_Job,Mean_Chg_Biz,Mean_DCI_Percentile,Mean_White,Mean_Hispanic,Mean_Black,Mean_Asian,Mean_Mixed_Other,Sum_Area_Land,Sum_Area_Water
Elizabethton,TN,1,34042,17.4,8.9,38.9,23.8,73.1,-2,-0.6,86.8,97.2,0.6,0.8,0.1,1.3,128.608,0.528
Elizabethtown,IL,1,1546,15.5,10.3,43.3,13.3,71.5,27.1,22.2,57.8,2.5,1.7,0.4,1.1,94.3,103.058,0.95
Elizabethtown,IN,1,2937,7,11.7,24,7.4,118.2,23.5,-3.8,30.4,96.3,2.4,0,0,1.3,31.807,0.276
Elizabethtown,KY,1,50367,10.7,8.6,30,13.3,118.6,11.3,3.9,40.1,89.2,1.2,6.2,1.4,2,158.637,1.72
Elizabethtown,NC,1,10713,19.4,11.5,40.4,33.8,65.5,8.8,-1.7,90,49.5,3.2,45.9,0,1.4,159.774,4.145
Elizabethtown,NY,1,1374,10.5,10.5,21.4,14.8,79.1,13.4,0,50.9,99.3,0.1,0,0.1,0.5,63.728,0.782
Elizabethtown,PA,1,29395,9.2,4.9,20.2,6.8,110.9,4.9,-0.2,24.1,96.8,0.7,0.3,1.3,0.9,55.012,0.226
Elizabethville,PA,1,3726,15.7,8.3,25.9,13.9,91.1,8.4,-4,59.4,97.1,0.9,0.2,0.8,1,22.509,0
Elizaville,NY,1,1700,12.2,6.2,21.3,10.2,109.1,14.1,0,29.7,97.4,1.8,0.5,0,0.3,21.889,0.185
Elk City,KS,1,779,13.7,19.1,35.7,17.6,77.6,130.4,-11.1,77.4,49.2,2.1,0,0.4,48.3,172.738,3.068
Elk City,OK,1,14746,14.8,22.4,28.8,11.3,106.3,17.7,0.8,54.9,81.9,10.7,1.4,0.2,5.8,190.722,0.828
Elk Creek,CA,1,543,21.9,9.8,67.3,35.8,49.3,66.7,66.7,73.3,56.4,9.8,9.8,3.5,20.5,305.864,3.089
Elk Creek,MO,1,869,38.8,18.7,55.7,45.2,54.1,0,0,98,96.8,0,0,0,3.2,58.263,0.016
Elk Creek,VA,1,1132,13.2,24.8,26.4,3.8,52.4,-23.1,-23.1,83.3,98.4,0,1.5,0,0.1,54.319,0.019
Elk Garden,WV,1,1127,27.6,10.9,34.6,9.6,64,28.6,28.6,57,98,0,2,0,0,41.73,0.556
Elk Grove Village,IL,1,33952,5.8,3.3,20.3,4.7,119.5,5.7,0.8,12.2,82.2,5.7,1,9.3,1.8,14.09,0.354
Elk Horn,IA,1,727,10.7,8.7,22.9,6.7,111,4.8,-2.9,38,98.8,0,0,0,1.2,28.553,0
Elk Horn,KY,1,1332,33.4,16.2,34.5,28.9,80.8,16.7,16.7,76.6,97.2,0,1.3,0.7,0.8,58.029,1.186
Elk Mound,WI,1,5076,7,5.4,16.4,5.6,120.4,26.3,24.5,3.2,96.2,0.6,0,1.9,1.3,101.927,1.044
Elk Park,NC,1,1810,18.1,13.3,31.4,18.3,63.6,-30.6,-18.4,94.8,92.7,3,0,1.2,3.1,31.008,0
Elk Point,SD,1,3008,11.3,12.9,23.6,7.1,100.3,25.5,1.3,35.2,96.8,1.4,0.1,0.2,1.5,132.538,2.234
Elk Rapids,MI,1,2167,4.5,4.9,29.2,20.2,95.6,27.9,-0.9,35.5,97.4,1.8,0,0.1,0.7,4.017,5.283
Elk River,MN,1,37364,6.6,4,17.2,6.6,130.1,18.7,3.5,6.6,97,1.4,0.2,0.3,1.1,104.468,4.058
Elk,WA,1,3788,12,5.4,34.9,19.9,84.8,26.4,13.6,43.8,95.8,2.6,0,0,1.6,80.212,1.194
Elka Park,NY,1,653,4.1,0,16.8,23.3,150.2,63.6,20,3.7,99.2,0,0,0.8,0,41.004,0.037
Elkader,IA,1,2146,5.7,7.7,20.7,5.6,95.8,16.7,3.7,18.6,99.5,0,0.4,0,0.1,99.74,0.042
